SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,ColReinstatement,SceneReinstatement,EmotionResponse,EmotionRT,EmotionCorrect,EmotionConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,onsetRemember,onsetEmotion,onsetColor,onsetScene,EmotionMemory,ColorCorrect,SceneCorrect,ColorQuality,SceneQuality,MemoryQuantity,MemoryQuality
16,77,93,4,Negative,6,44,5,87,255,2,1,267,186,180,69,1,0.296365426,1,1,81,2.237346266,243,1.724196507,-6,-12,6,12,35.01606831,618.503605,622.5201693,632.5199496,625.5200981,1,1,1,0.882352941,0.636363636,3,2.518716578
16,81,94,4,Neutral,7,60,4,270,294,2,1,132,153,138,141,1,0.323635046,0,1,255,2.240733239,312,2.545553329,-15,18,15,18,63.01549207,640.0031411,644.0197041,654.0194929,647.0196746,0,1,1,0.705882353,0.454545455,2,1.160427807
16,76,95,4,Negative,1,52,1,351,174,1,2,138,237,147,63,1,0.305664376,1,1,33,2.572978644,189,1.285095475,42,15,42,15,28.01623838,661.5026807,665.5359701,668.5191779,675.5190287,1,1,1,0.176470588,0.545454545,3,1.721925134
16,88,96,4,Neutral,9,76,6,258,54,1,2,87,303,171,111,4,0.364454612,1,1,243,2.969387658,60,2.957493215,-15,6,15,6,112.0144443,683.0022244,687.0187877,690.0187203,697.0186056,1,1,1,0.705882353,0.818181818,3,2.524064171
16,109,97,5,Negative,6,105,4,45,189,1,2,312,273,93,84,1,0.330958204,1,1,42,4.096737589,186,3.403802772,-3,-3,3,3,91.01470996,188.5126149,192.5124972,195.5124346,202.5123148,1,1,1,0.941176471,0.909090909,3,2.85026738
16,105,98,5,Negative,4,70,5,282,291,1,2,6,264,84,27,1,0.367618137,1,1,303,3.092119424,297,2.079238112,21,6,21,6,63.01530742,210.0121545,214.0120399,217.0119701,224.0118616,1,1,1,0.588235294,0.818181818,3,2.406417112
16,101,99,5,Neutral,7,135,3,273,309,1,2,189,177,84,132,1,0.467777836,0,1,303,2.313457016,309,3.07259796,30,0,30,0,35.01586314,231.511664,235.5116044,238.5115774,245.5114012,0,1,1,0.411764706,1,2,1.411764706
16,115,100,5,Negative,4,41,3,63,174,1,2,114,318,51,144,1,0.376608776,1,1,60,2.252899038,171,1.949017226,-3,-3,3,3,133.0138097,253.0112833,257.011144,260.0110592,267.0109065,1,1,1,0.941176471,0.909090909,3,2.85026738
16,114,101,5,Neutral,11,133,6,39,222,2,1,57,189,18,33,4,0.428914214,1,1,36,1.881378359,216,4.289214388,-3,-6,3,6,126.0139667,274.5108112,278.51071,288.5104437,281.5106265,1,1,1,0.941176471,0.818181818,3,2.759358289
16,110,102,5,Negative,5,93,1,276,102,1,2,294,195,18,93,1,0.392810336,1,1,294,3.749604284,123,2.581771156,18,21,18,21,98.01456043,296.0103194,300.010204,303.0101664,310.0100463,1,1,1,0.647058824,0.363636364,3,2.010695187
16,116,103,5,Negative,3,139,3,342,357,2,1,273,78,69,81,1,0.349118788,1,1,339,3.450149354,360,2.563016192,-3,3,3,3,140.0136475,317.5098637,321.509746,331.5095588,324.509681,1,1,1,0.941176471,0.909090909,3,2.85026738
16,113,104,5,Negative,1,101,4,315,99,2,1,168,330,147,129,1,0.315452312,1,1,3,1.750540167,114,4.127411634,48,15,48,15,119.0141098,339.009403,343.0092832,353.0091001,346.0092189,1,1,1,0.058823529,0.545454545,3,1.604278075
16,103,105,5,Neutral,11,83,1,111,279,2,1,63,252,48,27,4,0.365860661,1,1,135,2.731921394,288,2.451787064,24,9,24,9,49.01561231,360.5089087,364.508855,374.5086387,367.5087585,1,1,1,0.529411765,0.727272727,3,2.256684492
16,99,106,5,Negative,2,10,6,336,24,2,1,348,51,12,27,1,0.370169146,1,1,327,3.455346501,12,2.343161643,-9,-12,9,12,21.01620395,382.0085027,386.0083648,396.0081468,389.0083261,1,1,1,0.823529412,0.636363636,3,2.459893048
16,107,107,5,Neutral,9,2,5,150,201,2,1,159,33,9,168,4,0.335327256,1,1,135,2.107716338,186,2.555600986,-15,-15,15,15,77.01497071,403.5080293,407.5079071,417.5077268,410.5078411,1,1,1,0.705882353,0.545454545,3,2.251336898
16,106,108,5,Negative,1,25,2,150,249,2,1,243,72,93,177,1,0.299545376,1,1,141,1.848690882,234,3.807941464,-9,-15,9,15,70.61510252,425.0075562,429.0074429,439.0076636,432.0074111,1,1,1,0.823529412,0.545454545,3,2.368983957
16,100,109,5,Neutral,10,57,4,114,282,1,2,9,255,105,27,4,0.376187201,1,1,93,1.812361844,297,2.100485913,-21,15,21,15,28.01605579,446.5070865,450.5070037,453.5069165,460.5067697,1,1,1,0.588235294,0.545454545,3,2.13368984
16,97,110,5,Neutral,12,4,4,267,342,2,1,90,282,177,60,4,0.412067631,1,1,195,2.336825696,342,1.51372269,-72,0,72,0,7.016497552,468.0066439,472.0065265,482.0063431,475.0064879,1,0,1,0,1,2,2
16,120,111,5,Negative,3,32,5,228,99,2,1,213,315,15,144,1,0.321000543,1,1,204,2.766263006,99,2.685098144,-24,0,24,0,168.0130883,489.506178,493.5060665,503.5058762,496.5060316,1,1,1,0.529411765,1,3,2.529411765
16,102,112,5,Neutral,7,21,2,198,330,1,2,3,27,165,57,1,0.341116387,0,1,303,5.017515669,339,1.754657027,105,9,105,9,42.01575877,511.0056882,515.0056317,518.00554,525.0053908,0,0,1,0,0.727272727,1,0.727272727
16,104,113,5,Neutral,12,14,2,6,153,2,1,18,246,12,93,1,0.281643828,0,1,354,3.462127634,93,4.981912753,-12,-60,12,60,56.01546072,532.5052319,536.5051446,546.5049338,539.5051063,0,1,0,0.764705882,0,1,0.764705882
